x-axis,1,2,3
second,Ampere,Ampere,Ampere
-5.000000E-03,-2.120854217529E+03,+850.819076538E+00,+1.296231124878E+03
-4.995000E-03,-2.120854217529E+03,+810.618072510E+00,+1.336432128906E+03
-4.990000E-03,-2.100753715515E+03,+810.618072510E+00,+1.336432128906E+03
-4.985000E-03,-2.120854217529E+03,+770.417068481E+00,+1.386683383942E+03
-4.980000E-03,-2.080653213501E+03,+730.216064453E+00,+1.376633132935E+03
-4.975000E-03,-2.120854217529E+03,+690.015060425E+00,+1.416834136963E+03
-4.970000E-03,-2.100753715515E+03,+649.814056396E+00,+1.457035140991E+03
-4.965000E-03,-2.120854217529E+03,+649.814056396E+00,+1.467085391999E+03
-4.960000E-03,-2.120854217529E+03,+609.613052368E+00,+1.497236145020E+03
-4.955000E-03,-2.070602962494E+03,+609.613052368E+00,+1.487185894013E+03
-4.950000E-03,-2.040452209473E+03,+609.613052368E+00,+1.457035140991E+03
-4.945000E-03,-2.000251205444E+03,+609.613052368E+00,+1.446984889984E+03
-4.940000E-03,-1.960050201416E+03,+609.613052368E+00,+1.376633132935E+03
-4.935000E-03,-1.919849197388E+03,+609.613052368E+00,+1.376633132935E+03
-4.930000E-03,-1.919849197388E+03,+589.512550353E+00,+1.376633132935E+03
-4.925000E-03,-1.889698444367E+03,+579.462299348E+00,+1.306281375886E+03
-4.920000E-03,-1.839447189331E+03,+609.613052367E+00,+1.336432128905E+03
-4.915000E-03,-1.869597942353E+03,+609.613052368E+00,+1.296231124878E+03
-4.910000E-03,-1.799246185303E+03,+569.412048340E+00,+1.256030120850E+03
-4.905000E-03,-1.829396938323E+03,+569.412048340E+00,+1.245979869842E+03
-4.900000E-03,-1.759045181275E+03,+569.412048340E+00,+1.215829116822E+03
-4.895000E-03,-1.789195934297E+03,+579.462299346E+00,+1.215829116821E+03
-4.890000E-03,-1.718844177246E+03,+569.412048340E+00,+1.195728614806E+03
-4.885000E-03,-1.708793926238E+03,+559.361797332E+00,+1.175628112793E+03
-4.880000E-03,-1.718844177245E+03,+609.613052367E+00,+1.175628112792E+03
-4.875000E-03,-1.678643173218E+03,+569.412048340E+00,+1.135427108765E+03
-4.870000E-03,-1.678643173218E+03,+569.412048340E+00,+1.095226104736E+03
-4.865000E-03,-1.638442169189E+03,+569.412048340E+00,+1.095226104736E+03
-4.860000E-03,-1.598241165160E+03,+529.211044312E+00,+1.095226104736E+03
-4.855000E-03,-1.598241165161E+03,+539.261295317E+00,+1.024874347685E+03
-4.850000E-03,-1.578140663145E+03,+549.311546327E+00,+1.055025100708E+03
-4.845000E-03,-1.558040161133E+03,+559.361797331E+00,+1.014824096680E+03
-4.840000E-03,-1.517839157104E+03,+529.211044313E+00,+1.014824096678E+03
-4.835000E-03,-1.517839157104E+03,+529.211044312E+00,+1.044974849703E+03
-4.830000E-03,-1.477638153076E+03,+529.211044312E+00,+1.014824096680E+03
-4.825000E-03,-1.477638153076E+03,+529.211044312E+00,+1.055025100708E+03
-4.820000E-03,-1.517839157104E+03,+489.010040283E+00,+1.055025100708E+03
-4.815000E-03,-1.517839157104E+03,+438.758785250E+00,+1.095226104736E+03
-4.810000E-03,-1.537939659121E+03,+408.608032227E+00,+1.115326606752E+03
-4.805000E-03,-1.517839157104E+03,+368.407028198E+00,+1.175628112793E+03
-4.800000E-03,-1.517839157104E+03,+328.206024170E+00,+1.175628112793E+03
-4.795000E-03,-1.437437149048E+03,+127.201004020E+00,+1.376633132926E+03
-4.790000E-03,-1.517839157104E+03,+328.206024170E+00,+1.215829116821E+03
-4.785000E-03,-1.527889408114E+03,+298.055271151E+00,+1.225879367831E+03
-4.780000E-03,-1.558040161133E+03,+328.206024170E+00,+1.256030120850E+03
-4.775000E-03,-1.618341667180E+03,+368.407028198E+00,+1.256030120850E+03
-4.770000E-03,-1.658542671201E+03,+408.608032227E+00,+1.256030120850E+03
-4.765000E-03,-1.668592922208E+03,+438.758785245E+00,+1.296231124878E+03
-4.760000E-03,-1.678643173218E+03,+408.608032227E+00,+1.256030120850E+03
-4.755000E-03,-1.688693424222E+03,+418.658283231E+00,+1.296231124878E+03
-4.750000E-03,-1.759045181274E+03,+489.010040283E+00,+1.296231124878E+03
-4.745000E-03,-1.759045181274E+03,+489.010040283E+00,+1.296231124878E+03
-4.740000E-03,-1.799246185303E+03,+489.010040283E+00,+1.296231124875E+03
-4.735000E-03,-1.839447189331E+03,+529.211044312E+00,+1.306281375882E+03
-4.730000E-03,-1.859547691342E+03,+549.311546323E+00,+1.316331626889E+03
-4.725000E-03,-1.869597942350E+03,+579.462299339E+00,+1.386683383944E+03
-4.720000E-03,-1.879648193359E+03,+609.613052371E+00,+1.336432128909E+03
-4.715000E-03,-1.949999950412E+03,+649.814056396E+00,+1.336432128906E+03
-4.710000E-03,-1.960050201416E+03,+649.814056396E+00,+1.336432128906E+03
-4.705000E-03,-1.990200954434E+03,+679.964809415E+00,+1.336432128906E+03
-4.700000E-03,-2.000251205447E+03,+649.814056400E+00,+1.336432128906E+03
-4.695000E-03,-2.040452209473E+03,+720.165813449E+00,+1.366582881931E+03
-4.690000E-03,-2.040452209473E+03,+730.216064453E+00,+1.356532630917E+03
-4.685000E-03,-2.050502460483E+03,+770.417068481E+00,+1.346482379917E+03
-4.680000E-03,-2.120854217529E+03,+770.417068481E+00,+1.376633132935E+03
-4.675000E-03,-2.120854217529E+03,+730.216064453E+00,+1.376633132935E+03
-4.670000E-03,-2.120854217529E+03,+669.914558407E+00,+1.416834136963E+03
-4.665000E-03,-2.120854217529E+03,+679.964809414E+00,+1.457035140991E+03
-4.660000E-03,-2.120854217529E+03,+649.814056400E+00,+1.497236145020E+03
-4.655000E-03,-2.080653213501E+03,+639.763805393E+00,+1.537437149048E+03
-4.650000E-03,-2.080653213501E+03,+569.412048340E+00,+1.557537651066E+03
-4.645000E-03,-2.080653213501E+03,+539.261295322E+00,+1.547487400059E+03
-4.640000E-03,-2.161055221550E+03,+529.211044312E+00,+1.577638153076E+03
-4.635000E-03,-2.110803966526E+03,+489.010040283E+00,+1.587688404079E+03
-4.630000E-03,-2.060552711491E+03,+489.010040283E+00,+1.617839157104E+03
-4.625000E-03,-2.040452209473E+03,+489.010040283E+00,+1.607788906094E+03
-4.620000E-03,-2.000251205444E+03,+489.010040283E+00,+1.577638153072E+03
-4.615000E-03,-1.990200954441E+03,+489.010040283E+00,+1.537437149048E+03
-4.610000E-03,-1.939949699406E+03,+509.110542301E+00,+1.517336647038E+03
-4.605000E-03,-1.949999950405E+03,+489.010040283E+00,+1.527386898037E+03
-4.600000E-03,-1.919849197384E+03,+448.809036259E+00,+1.497236145015E+03
-4.595000E-03,-1.919849197388E+03,+448.809036255E+00,+1.457035140991E+03
-4.590000E-03,-1.879648193359E+03,+448.809036255E+00,+1.457035140991E+03
-4.585000E-03,-1.839447189331E+03,+448.809036255E+00,+1.416834136963E+03
-4.580000E-03,-1.799246185303E+03,+448.809036255E+00,+1.376633132939E+03
-4.575000E-03,-1.799246185303E+03,+478.959789281E+00,+1.376633132935E+03
-4.570000E-03,-1.779145683293E+03,+428.708534236E+00,+1.396733634944E+03
-4.565000E-03,-1.759045181274E+03,+448.809036255E+00,+1.336432128906E+03
-4.560000E-03,-1.759045181270E+03,+448.809036250E+00,+1.336432128902E+03
-4.555000E-03,-1.718844177246E+03,+408.608032227E+00,+1.296231124878E+03
-4.550000E-03,-1.678643173218E+03,+428.708534236E+00,+1.276130622859E+03
-4.545000E-03,-1.648492420201E+03,+398.557781215E+00,+1.286180873866E+03
-4.540000E-03,-1.638442169185E+03,+448.809036250E+00,+1.256030120850E+03
-4.535000E-03,-1.638442169189E+03,+408.608032227E+00,+1.215829116821E+03
-4.530000E-03,-1.598241165161E+03,+408.608032227E+00,+1.195728614802E+03
-4.525000E-03,-1.588190914149E+03,+408.608032227E+00,+1.235929618826E+03
-4.520000E-03,-1.517839157104E+03,+368.407028198E+00,+1.175628112793E+03
-4.515000E-03,-1.517839157104E+03,+378.457279200E+00,+1.165577861791E+03
-4.510000E-03,-1.517839157104E+03,+388.507530207E+00,+1.175628112793E+03
-4.505000E-03,-1.477638153076E+03,+368.407028198E+00,+1.095226104736E+03
-4.500000E-03,-1.477638153076E+03,+368.407028198E+00,+1.095226104741E+03
-4.495000E-03,-1.467587902074E+03,+318.155773168E+00,+1.105276355738E+03
-4.490000E-03,-1.437437149048E+03,+368.407028198E+00,+1.135427108765E+03
-4.485000E-03,-1.397236145020E+03,+318.155773158E+00,+1.145477359777E+03
-4.480000E-03,-1.397236145025E+03,+328.206024165E+00,+1.175628112798E+03
-4.475000E-03,-1.447487400050E+03,+257.854267115E+00,+1.225879367823E+03
-4.470000E-03,-1.477638153076E+03,+207.603012085E+00,+1.235929618830E+03
-4.465000E-03,-1.477638153076E+03,+167.402008057E+00,+1.256030120850E+03
-4.460000E-03,-1.517839157099E+03,+207.603012079E+00,+1.336432128901E+03
-4.455000E-03,-1.467587902075E+03,+197.552761083E+00,+1.366582881933E+03
-4.450000E-03,-1.477638153076E+03,+227.703514093E+00,+1.356532630926E+03
-4.445000E-03,-1.517839157104E+03,+197.552761072E+00,+1.336432128906E+03
-4.440000E-03,-1.598241165155E+03,+247.804016108E+00,+1.376633132929E+03
-4.435000E-03,-1.598241165161E+03,+247.804016113E+00,+1.376633132935E+03
-4.430000E-03,-1.638442169201E+03,+267.904518133E+00,+1.376633132935E+03
-4.425000E-03,-1.678643173218E+03,+277.954769129E+00,+1.406783885950E+03
-4.420000E-03,-1.638442169195E+03,+328.206024164E+00,+1.416834136963E+03
-4.415000E-03,-1.718844177246E+03,+368.407028198E+00,+1.436934638989E+03
-4.410000E-03,-1.738944679266E+03,+368.407028198E+00,+1.396733634955E+03
-4.405000E-03,-1.799246185303E+03,+368.407028198E+00,+1.416834136963E+03
-4.400000E-03,-1.799246185309E+03,+368.407028192E+00,+1.416834136963E+03
-4.395000E-03,-1.799246185303E+03,+378.457279199E+00,+1.416834136963E+03
-4.390000E-03,-1.839447189331E+03,+428.708534234E+00,+1.457035140991E+03
-4.385000E-03,-1.809296436316E+03,+489.010040283E+00,+1.487185894006E+03
-4.380000E-03,-1.879648193359E+03,+489.010040283E+00,+1.457035140991E+03
-4.375000E-03,-1.919849197388E+03,+489.010040283E+00,+1.426884387964E+03
-4.370000E-03,-1.980150703437E+03,+489.010040283E+00,+1.436934638983E+03
-4.365000E-03,-2.000251205444E+03,+529.211044312E+00,+1.457035140991E+03
-4.360000E-03,-2.040452209466E+03,+529.211044312E+00,+1.497236145013E+03
-4.355000E-03,-2.030401958472E+03,+609.613052368E+00,+1.507286396020E+03
-4.350000E-03,-2.000251205444E+03,+609.613052368E+00,+1.497236145020E+03
-4.345000E-03,-2.070602962487E+03,+569.412048340E+00,+1.527386898034E+03
-4.340000E-03,-2.080653213508E+03,+529.211044318E+00,+1.497236145026E+03
-4.335000E-03,-2.090703464501E+03,+529.211044312E+00,+1.527386898048E+03
-4.330000E-03,-2.100753715508E+03,+509.110542290E+00,+1.597738655097E+03
-4.325000E-03,-2.050502460487E+03,+489.010040283E+00,+1.658040161133E+03
-4.320000E-03,-2.080653213494E+03,+489.010040283E+00,+1.698241165161E+03
-4.315000E-03,-2.070602962501E+03,+438.758785255E+00,+1.728391918189E+03
-4.310000E-03,-2.080653213501E+03,+388.507530219E+00,+1.698241165161E+03
-4.305000E-03,-2.080653213501E+03,+368.407028198E+00,+1.698241165161E+03
-4.300000E-03,-2.080653213501E+03,+328.206024163E+00,+1.658040161133E+03
-4.295000E-03,-1.990200954444E+03,+328.206024170E+00,+1.668090412133E+03
-4.290000E-03,-1.960050201416E+03,+388.507530220E+00,+1.678140663154E+03
-4.285000E-03,-1.919849197388E+03,+368.407028198E+00,+1.658040161133E+03
-4.280000E-03,-1.919849197388E+03,+368.407028198E+00,+1.577638153083E+03
-4.275000E-03,-1.919849197388E+03,+328.206024170E+00,+1.577638153076E+03
-4.270000E-03,-1.939949699409E+03,+308.105522148E+00,+1.557537651055E+03
-4.265000E-03,-1.839447189331E+03,+298.055271156E+00,+1.547487400062E+03
-4.260000E-03,-1.839447189331E+03,+328.206024170E+00,+1.537437149048E+03
-4.255000E-03,-1.769095432274E+03,+328.206024170E+00,+1.537437149048E+03
-4.250000E-03,-1.779145683296E+03,+328.206024170E+00,+1.517336647026E+03
-4.245000E-03,-1.769095432289E+03,+298.055271156E+00,+1.457035140991E+03
-4.240000E-03,-1.759045181274E+03,+247.804016121E+00,+1.416834136971E+03
-4.235000E-03,-1.759045181274E+03,+288.005020142E+00,+1.457035140991E+03
-4.230000E-03,-1.698743675240E+03,+288.005020142E+00,+1.457035140991E+03
-4.225000E-03,-1.638442169189E+03,+288.005020142E+00,+1.446984889976E+03
-4.220000E-03,-1.598241165169E+03,+288.005020142E+00,+1.416834136963E+03
-4.215000E-03,-1.628391918190E+03,+277.954769143E+00,+1.406783885964E+03
-4.210000E-03,-1.638442169189E+03,+267.904518135E+00,+1.356532630928E+03
-4.205000E-03,-1.588190914146E+03,+247.804016113E+00,+1.366582881919E+03
-4.200000E-03,-1.598241165153E+03,+247.804016113E+00,+1.376633132926E+03
-4.195000E-03,-1.558040161133E+03,+237.753765114E+00,+1.336432128906E+03
-4.190000E-03,-1.477638153076E+03,+227.703514091E+00,+1.316331626900E+03
-4.185000E-03,-1.477638153076E+03,+237.753765098E+00,+1.306281375893E+03
-4.180000E-03,-1.477638153076E+03,+247.804016105E+00,+1.296231124870E+03
-4.175000E-03,-1.477638153076E+03,+207.603012085E+00,+1.266080371848E+03
-4.170000E-03,-1.437437149048E+03,+167.402008057E+00,+1.235929618827E+03
-4.165000E-03,-1.397236145020E+03,+177.452259072E+00,+1.215829116821E+03
-4.160000E-03,-1.397236145020E+03,+207.603012076E+00,+1.256030120841E+03
-4.155000E-03,-1.397236145020E+03,+197.552761087E+00,+1.225879367820E+03
-4.150000E-03,-1.377135643014E+03,+167.402008057E+00,+1.235929618844E+03
-4.145000E-03,-1.397236145020E+03,+117.150753012E+00,+1.286180873862E+03
-4.140000E-03,-1.397236145020E+03,+87.000000000E+00,+1.296231124878E+03
-4.135000E-03,-1.397236145020E+03,+87.000000000E+00,+1.336432128906E+03
-4.130000E-03,-1.437437149048E+03,+66.899497995E+00,+1.436934638986E+03
-4.125000E-03,-1.397236145020E+03,+46.798995972E+00,+1.426884387979E+03
-4.120000E-03,-1.397236145029E+03,+46.798995972E+00,+1.416834136963E+03
-4.115000E-03,-1.477638153076E+03,+87.000000000E+00,+1.457035140991E+03
-4.110000E-03,-1.497738655081E+03,+66.899497995E+00,+1.416834136963E+03
-4.105000E-03,-1.527889408121E+03,+97.050251016E+00,+1.426884387979E+03
-4.100000E-03,-1.558040161133E+03,+127.201004028E+00,+1.457035140991E+03
-4.095000E-03,-1.568090412131E+03,+137.251255026E+00,+1.457035140991E+03
-4.090000E-03,-1.618341667185E+03,+167.402008057E+00,+1.477135643015E+03
-4.085000E-03,-1.648492420206E+03,+207.603012085E+00,+1.497236145020E+03
-4.080000E-03,-1.678643173218E+03,+207.603012085E+00,+1.497236145010E+03
-4.075000E-03,-1.718844177246E+03,+247.804016113E+00,+1.507286396017E+03
-4.070000E-03,-1.718844177246E+03,+207.603012085E+00,+1.477135642996E+03
-4.065000E-03,-1.759045181274E+03,+247.804016113E+00,+1.507286396036E+03
-4.060000E-03,-1.799246185303E+03,+247.804016123E+00,+1.537437149048E+03
-4.055000E-03,-1.799246185303E+03,+318.155773172E+00,+1.567587902079E+03
